,zipcode,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,lat,long
0,98001,268933,3.465703971,2.069494585,1877,8544,1.480144404,0,0.046931408,1.025270758,7.277978339,1719,158,1984,47.31072274,-122.2700903
1,98002,232821,3.309278351,1.819587629,1619,7254,1.335051546,0,0,1.118556701,6.690721649,1515,104,1967,47.30877216,-122.2141031
2,98003,283161,3.33984375,2.008789063,1864,9098,1.30859375,0,0.19921875,1.01171875,7.46484375,1613,243,1977,47.31623086,-122.3110273
3,98004,833037,3.381679389,1.944656489,1965,9503,1.270992366,0,0.030534351,1.053435115,7.618320611,1620,345,1962,47.61103817,-122.2002824
4,98005,704517,3.660194175,2.223300971,2284,10271,1.174757282,0,0.009708738,1.106796117,7.951456311,1838,428,1967,47.60251748,-122.1688155
5,98006,686660,3.769662921,2.325140449,2449,10129,1.408707865,0.002808989,0.311797753,1.137640449,8.306179775,1988,457,1976,47.55871657,-122.1497697
6,98007,585468,3.795454545,2.115530303,2096,9071,1.401515152,0,0.015151515,1.045454545,7.840909091,1813,277,1970,47.61013939,-122.1419167
7,98008,551597,3.721115538,2.019920319,1979,8786,1.143426295,0,0.258964143,1.083665339,7.501992032,1616,362,1965,47.61430797,-122.116745
8,98010,290298,3.1,1.79375,1574,9443,1.3875,0,0,1.125,6.625,1450,124,1972,47.32063,-122.012475
9,98011,483791,3.535911602,2.272099448,2224,8834,1.494475138,0,0.066298343,1.038674033,7.745856354,1925,297,1982,47.75500608,-122.2010221
10,98014,285479,2.88,1.5,1371,9447,1.32,0,0,0.96,6.52,1300,70,1967,47.672304,-121.75276
11,98019,408541,3.466666667,2.392592593,2156,8673,1.8,0,0.014814815,1,7.533333333,2066,90,1994,47.7362037,-121.9645481
12,98022,256378,3.138888889,1.840277778,1627,8580,1.329861111,0,0.243055556,1.194444444,6.972222222,1583,44,1970,47.20186736,-121.9946597
13,98023,272121,3.412162162,2.051238739,1929,8532,1.313063063,0,0.040540541,1,7.533783784,1658,269,1979,47.30729572,-122.3646396
14,98024,375377,3.227272727,1.693181818,1665,10080,1.25,0,0,1.045454545,6.636363636,1545,120,1953,47.55526818,-121.9001818
15,98027,577030,3.43373494,2.43373494,2227,6417,1.761044177,0,0.072289157,1.036144578,8.064257028,1944,277,1990,47.53981044,-122.0570562
16,98028,448653,3.447154472,2.153455285,2091,9129,1.43902439,0,0.134146341,1.036585366,7.597560976,1766,306,1978,47.755,-122.2462805
17,98029,584535,3.386666667,2.553333333,2194,5307,1.973333333,0,0.06,1.006666667,8.336666667,2117,70,1998,47.55968167,-122.0048033
18,98030,291850,3.454166667,2.164583333,1952,8149,1.504166667,0,0.025,1.004166667,7.425,1799,151,1986,47.36917,-122.1898542
19,98031,291487,3.473895582,2.153614458,1892,8151,1.453815261,0,0.008032129,1.0562249,7.357429719,1681,197,1983,47.40399598,-122.1893695
20,98032,246241,3.432432432,1.709459459,1694,8620,1.234234234,0,0.036036036,1.072072072,7.117117117,1410,283,1965,47.37284775,-122.2787748
21,98033,649344,3.430232558,2.135901163,2064,8671,1.42877907,0,0.191860465,1.098837209,7.694767442,1798,265,1975,47.68156802,-122.1860291
22,98034,463748,3.472945892,2.074649299,1884,8220,1.29258517,0,0.088176353,1.056112224,7.368737475,1587,290,1976,47.72156413,-122.2048697
23,98038,334972,3.456431535,2.381224066,2055,6470,1.803941909,0,0.020746888,1.01659751,7.491701245,2002,46,1999,47.36304855,-122.0340145
24,98039,900833,3.166666667,1.416666667,1528,10149,1,0,0,1,7.333333333,1253,275,1957,47.6312,-122.2326667
25,98040,828819,3.788321168,2.239051095,2402,10704,1.255474453,0,0.160583942,1.131386861,8.116788321,1944,448,1964,47.56360584,-122.2260219
26,98042,288233,3.384792627,2.116935484,1887,7623,1.526497696,0,0.01843318,1.105990783,7.331797235,1788,99,1989,47.36750092,-122.1162235
27,98045,369608,3.233870968,1.989919355,1821,9862,1.447580645,0,0.14516129,1.008064516,7.330645161,1731,89,1984,47.47137016,-121.7670887
28,98052,617942,3.601178782,2.343811395,2286,8311,1.576620825,0,0.039292731,1.017681729,8.086444008,2022,255,1985,47.678522,-122.1207151
29,98053,590866,2.918803419,2.352564103,2210,5966,1.561965812,0,0.047008547,1.004273504,7.790598291,2196,13,2004,47.69527393,-122.026859
30,98055,302739,3.22983871,1.965725806,1789,7093,1.39516129,0,0.112903226,1.044354839,7.161290323,1582,204,1970,47.45935927,-122.2027218
31,98056,399916,3.433070866,2.040026247,1985,7761,1.427821522,0,0.13648294,1.202099738,7.304461942,1770,210,1977,47.50898451,-122.1824331
32,98058,330161,3.509433962,2.0606469,1967,8254,1.388140162,0,0.013477089,1.064690027,7.495956873,1749,213,1979,47.44772318,-122.151938
33,98059,464623,3.759562842,2.340846995,2347,8367,1.665300546,0,0.005464481,1.06010929,7.846994536,2236,109,1991,47.49288279,-122.1446803
34,98065,527420,3.57400722,2.613718412,2604,6471,1.927797834,0,0.270758123,1,7.909747292,2505,98,2000,47.53168303,-121.8673791
35,98070,376437,2.8125,1.78125,1735,11019,1.28125,0.125,1.125,1.1875,6.8125,1408,326,1961,47.4059625,-122.4474375
36,98072,454856,3.362204724,2.082677165,2026,8519,1.429133858,0,0.023622047,1.015748031,7.582677165,1749,273,1984,47.75257559,-122.1479606
37,98074,635373,3.62849162,2.454608939,2529,9395,1.705307263,0,0.044692737,1,8.600558659,2367,161,1990,47.62443128,-122.0439944
38,98075,743129,3.901408451,2.762910798,3029,8398,1.962441315,0,0.136150235,1.014084507,9.164319249,2973,52,1999,47.58765493,-122.0148638
39,98077,464184,3.21875,1.8046875,1907,11104,1.21875,0,0,1.03125,7.78125,1735,172,1975,47.74392813,-122.0685937
40,98092,298084,3.572580645,2.256048387,2093,7374,1.695564516,0,0.040322581,1.024193548,7.790322581,2001,92,1993,47.30379435,-122.1858024
41,98102,696013,3.102272727,2.122159091,1779,2921,1.948863636,0,0.102272727,1.034090909,7.943181818,1479,283,1954,47.63493864,-122.3227273
42,98103,566693,2.976149915,1.899914821,1610,3433,1.822827939,0,0.139693356,1.132879046,7.371379898,1376,228,1952,47.67607973,-122.3443135
43,98105,657524,3.41011236,1.93258427,1781,4139,1.533707865,0,0.084269663,1.151685393,7.415730337,1408,368,1938,47.6659264,-122.3000899
44,98106,318830,3.102719033,1.812688822,1488,5338,1.383685801,0,0.075528701,1.039274924,6.86102719,1185,298,1965,47.53608429,-122.3567704
45,98107,558027,2.977099237,2.022900763,1546,3164,1.832061069,0,0.175572519,1.095419847,7.389312977,1292,247,1959,47.66985649,-122.375458
46,98108,355678,3.204301075,1.931451613,1704,5204,1.376344086,0,0.096774194,1.086021505,7.016129032,1300,402,1957,47.54976935,-122.306871
47,98109,696145,3,1.936046512,1715,3276,1.63372093,0,0.337209302,1.093023256,7.697674419,1401,299,1944,47.63534884,-122.3497907
48,98112,728852,3.161676647,1.946107784,1890,3753,1.694610778,0,0.077844311,1.083832335,7.778443114,1510,372,1944,47.62874431,-122.299515
49,98115,585542,3.163375224,1.811938959,1765,5276,1.401256732,0,0.131059246,1.12567325,7.287253142,1357,398,1947,47.68565512,-122.3025153
50,98116,574901,3.03525641,1.923878205,1751,4683,1.509615385,0,0.461538462,1.131410256,7.442307692,1355,379,1952,47.57344071,-122.3935577
51,98117,564050,2.996316759,1.796040516,1663,4526,1.453038674,0,0.138121547,1.106813996,7.243093923,1316,341,1948,47.68683352,-122.3783757
52,98118,401915,3.116232465,1.74749499,1652,5499,1.336673347,0.002004008,0.214428858,1.058116232,6.933867735,1304,344,1950,47.54389599,-122.2757415
53,98119,695016,3.058823529,2.060457516,1774,3315,1.72875817,0,0.300653595,1.098039216,7.803921569,1418,325,1947,47.64100392,-122.3671438
54,98122,575209,3.118081181,2.014760148,1686,3362,1.750922509,0,0.132841328,1.051660517,7.634686347,1431,252,1950,47.60996531,-122.3007528
55,98125,444767,3.187179487,1.794230769,1702,7250,1.362820513,0,0.171794872,1.076923077,7.146153846,1390,304,1960,47.71686205,-122.3018026
56,98126,424734,2.836158192,1.678672316,1543,5114,1.350282486,0,0.378531073,1.107344633,7.031073446,1249,285,1952,47.54458418,-122.375274
57,98133,386497,3.135245902,1.731557377,1605,6967,1.397540984,0,0.016393443,1.110655738,7.118852459,1354,250,1963,47.73564549,-122.3437561
58,98136,525972,2.908366534,1.847609562,1683,5197,1.476095618,0,0.513944223,1.067729084,7.378486056,1323,346,1957,47.53888167,-122.3878805
59,98144,507286,3.156739812,1.952978056,1759,3695,1.622257053,0,0.282131661,1.131661442,7.288401254,1367,384,1956,47.5863511,-122.2991944
60,98146,335236,3.114391144,1.617158672,1580,8010,1.212177122,0,0.280442804,1.025830258,6.767527675,1345,232,1956,47.50208487,-122.3576089
61,98148,283960,3.142857143,1.790178571,1595,8700,1.214285714,0,0,0.964285714,6.964285714,1483,103,1963,47.43704464,-122.329375
62,98155,386842,3.27020202,1.740530303,1680,8867,1.194444444,0,0.106060606,1.113636364,7.068181818,1404,270,1960,47.75412929,-122.305846
63,98166,365841,3.286516854,1.720505618,1750,9457,1.174157303,0.011235955,0.342696629,1.073033708,7.02247191,1450,283,1956,47.45921966,-122.3490955
64,98168,236426,3.013043478,1.440217391,1442,8915,1.154347826,0,0.017391304,1.02173913,6.47826087,1213,223,1953,47.48996913,-122.3084435
65,98177,537454,3.35678392,1.97361809,2058,8062,1.251256281,0,0.417085427,1.08040201,7.608040201,1611,443,1960,47.74100452,-122.3682161
66,98178,307033,3.318897638,1.738188976,1731,7790,1.18503937,0.031496063,0.535433071,1.082677165,6.811023622,1322,401,1955,47.49930433,-122.2471654
67,98188,280926,3.401574803,1.803149606,1745,9327,1.188976378,0,0.133858268,1.086614173,7.007874016,1437,298,1964,47.44709134,-122.2811102
68,98198,282805,3.16194332,1.75708502,1676,8324,1.218623482,0.016194332,0.449392713,1.028340081,7.044534413,1434,237,1967,47.39161255,-122.315498
69,98199,670171,3.102941176,2.020220588,1936,4935,1.415441176,0,0.352941176,1.128676471,7.702205882,1421,508,1956,47.64859191,-122.3972721